uid,eventID,pointID,stemDistance,stemAzimuth,individualID,taxonID,scientificName,taxonRank
55a15e15-cf6f-4d82-b3c2-edab43213f85,vst_BART_2015,41,3.1,130.4,NEON.PLA.D01.BART.00312,ACRU,Acer rubrum L.,species
14020fe5-5026-423c-a8da-ffebd77f4e31,vst_BART_2015,41,9,102,NEON.PLA.D01.BART.00313,BEAL2,Betula alleghaniensis Britton,species
f93e61d7-a1a1-404f-94f8-21cd3b759a60,vst_BART_2015,41,13.9,93.1,NEON.PLA.D01.BART.00314,TSCA,Tsuga canadensis (L.) Carrière,species
3d7770d5-575d-4b1b-9af2-aee40f41a34e,vst_BART_2015,41,5.5,103.5,NEON.PLA.D01.BART.00315,FAGR,Fagus grandifolia Ehrh.,species
f488713c-f4ac-464f-a7fb-95bbe1bcf45e,vst_BART_2015,57,16.7,96.1,NEON.PLA.D01.BART.00316,TSCA,Tsuga canadensis (L.) Carrière,species
dcfa586d-a63e-4cc5-8610-b4cb781b7350,vst_BART_2015,57,19.5,108.9,NEON.PLA.D01.BART.00317,FAGR,Fagus grandifolia Ehrh.,species
20227a14-a96c-4bfa-af3f-825e203e5573,vst_BART_2015,57,20.8,115.2,NEON.PLA.D01.BART.00318,FAGR,Fagus grandifolia Ehrh.,species
13425603-c578-4ba8-bb4d-fd544291194b,vst_BART_2015,57,16.4,108.6,NEON.PLA.D01.BART.00319,BEAL2,Betula alleghaniensis Britton,species
3a23f2bb-5055-401c-9dee-3b05ccf28edc,vst_BART_2015,59,14.5,200,NEON.PLA.D01.BART.00321,FAGR,Fagus grandifolia Ehrh.,species
1d1af32d-f1f9-4b34-bb18-e62b1fd06e8c,vst_BART_2015,59,8.5,230.9,NEON.PLA.D01.BART.00322,TSCA,Tsuga canadensis (L.) Carrière,species
e2b465aa-284c-4f71-8b73-5be028064eb1,vst_BART_2015,59,8.4,244.4,NEON.PLA.D01.BART.00323,BEAL2,Betula alleghaniensis Britton,species
79de2eb9-8485-4c36-bb9c-f71842b2d751,vst_BART_2015,41,14.3,324.3,NEON.PLA.D01.BART.00324,TSCA,Tsuga canadensis (L.) Carrière,species
166002ed-4ebe-4be1-9521-bd381c6eaee3,vst_BART_2015,39,9.8,14.8,NEON.PLA.D01.BART.00325,ACRU,Acer rubrum L.,species
5329259f-0a44-48aa-8aab-2c01ec359239,vst_BART_2015,39,10.1,69.8,NEON.PLA.D01.BART.00326,TSCA,Tsuga canadensis (L.) Carrière,species
a66b0c8e-5994-44fc-b2d7-9b6a6a7c3d26,vst_BART_2015,59,12.8,203.2,NEON.PLA.D01.BART.00327,FAGR,Fagus grandifolia Ehrh.,species
8dea2455-940e-44e8-9c11-f48c549b5cb8,vst_BART_2015,59,13.3,216.9,NEON.PLA.D01.BART.00328,BEAL2,Betula alleghaniensis Britton,species
22034eb2-02e1-4058-9149-a2be3cba8b45,vst_BART_2015,41,11.7,304.3,NEON.PLA.D01.BART.00329,ACRU,Acer rubrum L.,species
1e4e23fa-fe59-4670-9291-8355025c985c,vst_BART_2015,41,5.8,281.9,NEON.PLA.D01.BART.00330,ACRU,Acer rubrum L.,species
8198f6cf-e8aa-4f28-a6cc-7944ab5f6dd5,vst_BART_2015,41,6.8,301.4,NEON.PLA.D01.BART.00331,ACRU,Acer rubrum L.,species
