uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
cf04d235-db64-456f-a05a-0f5ea3df3f36,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,NEON.PLA.D01.BART.00368,single bole tree,49.3,130,21.6
39ffefd5-18dd-4529-858f-29329af26344,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,NEON.PLA.D01.BART.02808,single bole tree,29.3,130,16.0
20bb75d3-9b31-499b-adcb-0d871dc2a404,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,NEON.PLA.D01.BART.02807,multi-bole tree,53.5,130,26.0
4cea4789-85b8-49b7-ac41-cd6e75e92b37,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,NEON.PLA.D01.BART.00311,single bole tree,17.9,130,14.0
76103b9f-9901-4cb8-b6f5-1b3a8ca1e104,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,NEON.PLA.D01.BART.06022,single bole tree,20.6,130,15.6
d428296c-54f4-4c69-a02d-306a33610231,BART_034.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_034,NEON.PLA.D01.BART.00803,single bole tree,39.1,130,14.3
68ea43ce-5da7-445c-bbbe-f9fee04de616,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,NEON.PLA.D01.BART.00302,single bole tree,31.9,130,19.5
16738a35-36ad-4645-9a9b-0f0631ffd7d8,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,NEON.PLA.D01.BART.02836,single bole tree,27.6,130,4.1
6a1db0a6-b6c5-4da5-aa6d-6040e4d1ab86,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,NEON.PLA.D01.BART.00304,single bole tree,NA,NA,NA
d5c323ca-03c0-473a-b481-ac34018d023b,BART_041.basePlot.vst,2017-07-10,vst_BART_2017,D01,BART,BART_041,NEON.PLA.D01.BART.00809,multi-bole tree,43.6,130,24.4
