uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
34365b0e-0c2c-4b95-bd17-9241c8eb9849,HARV_036.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_036,NEON.PLA.D01.HARV.06001,single bole tree,26.7,130,12.9
a5370c53-d097-4723-ab80-301322cac4ff,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04924,single bole tree,27.9,130,19.8
d9bb2922-4243-4939-a859-7ffbe7b6b219,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,NEON.PLA.D01.HARV.04958,single bole tree,59.8,130,19.5
2c3ddadb-d573-4910-b819-66f707319a7f,HARV_043.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_043,NEON.PLA.D01.HARV.09554,single bole tree,10.5,130,2.4
d7b38ade-7522-4156-93e1-9a15ae46036c,HARV_045.basePlot.vst,2017-07-10,vst_HARV_2017,D01,HARV,HARV_045,NEON.PLA.D01.HARV.09984,single bole tree,16.1,130,13.1
7367a592-8058-421d-a6fc-f1c292338333,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10322,single bole tree,14.3,130,15.0
3cae54cf-8d12-45e9-8c13-5d4db64282d6,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10324,single bole tree,15.2,140,14.5
2dd52e1d-46c3-4d35-bac2-b7bd5c48257f,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10319,small tree,9.1,130,11.2
9dddbdf5-802b-423c-b5cc-bd7a82acb440,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10315,single bole tree,19.4,130,7.5
59fa7de2-4152-4d8b-8272-07fb71fdb3c6,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.03951,NA,NA,NA,NA
b7edb705-8593-46bd-bb5f-e1ddefe037de,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10022,single bole tree,10.0,130,6.3
1cc8f5ee-9f33-4e55-a20b-abf3b712f556,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.10321,single bole tree,NA,NA,NA
5e223825-7f7f-4e5a-8333-d16648abcea5,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.03943,single bole tree,21.2,130,20.5
484ff47e-0f5c-4f79-8cdf-a1a089de9865,HARV_048.basePlot.vst,2017-07-11,vst_HARV_2017,D01,HARV,HARV_048,NEON.PLA.D01.HARV.03626,single bole tree,17.3,130,18.0
