uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
8f7ca6e2-9df7-47be-8cfb-178f42378f2c,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04694,single bole tree,24.3,130,6.1
f61a9c74-4506-4a5e-861e-5c088fc4ed00,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04698A,multi-bole tree,14.5,130,4.6
a3d76364-c96c-45bd-a1cf-46e057ed911e,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04692,single bole tree,11.8,140,3.6
38a11556-36f0-4004-8f05-fe627df90c43,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04695,single bole tree,20.2,140,5.8
8a5a8be8-f136-4c96-9e43-45e0c82070c2,GUAN_009.basePlot.vst,2016-05-24,vst_GUAN_2016,D04,GUAN,GUAN_009,NEON.PLA.D04.GUAN.04698,multi-bole tree,21.5,150,4.6
529a59bf-ed2c-48c8-bdd4-f529d212f3e0,GUAN_019.basePlot.vst,2016-05-27,vst_GUAN_2016,D04,GUAN,GUAN_019,NEON.PLA.D04.GUAN.05009,single bole tree,12.9,130,4.5
