uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,growthForm,stemDiameter,measurementHeight,height
99be1510-86ac-41c3-8760-b984564859c3,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03230,single bole tree,28.0,130,17.5
f091842f-6758-4153-869f-6240839292fc,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03242,single bole tree,23.4,130,17.4
1761912e-be9e-44a3-965e-324a8602a232,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04980,single bole tree,19.0,130,18.3
b4a2f5e1-3471-4203-a13b-f29b025eed2e,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04990,single bole tree,23.1,130,16.5
24244e90-acd7-4b3f-b3c6-69216787ac56,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04555,single bole tree,31.0,130,20.0
3a7ad4f1-94e3-4027-8bae-12f1ec33328c,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03226,single bole tree,13.7,130,12.9
ae1cf762-0f34-4a86-9322-fb09124e913b,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04537,single bole tree,31.3,130,20.1
ec74380c-42a1-4e98-9854-2e8887463f9f,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03286,single bole tree,12.0,130,13.9
73b3125e-c8dd-4ded-b6a4-512d83c17f2d,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03224,single bole tree,14.2,130,15.0
326e7eba-3454-4f41-b803-a23cd8663dcd,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.04499,single bole tree,27.7,130,20.1
da8a3b04-f322-4f16-8eb7-205377d6f79f,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04560,single bole tree,15.1,130,16.3
ac2f48d6-a800-4107-96c5-871ae740c364,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03278,single bole tree,12.1,130,9.2
5a12bf96-78f8-4dac-bf9f-b76c38614d84,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04546,single bole tree,17.0,130,19.7
a36d3f8b-75e6-4d22-b405-273f8745c2e1,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03268,single bole tree,28.8,130,20.9
6086be1b-aa41-4c09-a3c6-00dc3ab76d2b,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03111,single bole tree,33.7,130,12.9
3cd88297-eaed-46ca-a953-26b68c7b722d,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03241,single bole tree,29.9,130,22.9
98139a77-0700-4986-97bd-5b24a1bfeeb1,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03229,single bole tree,21.9,130,13.7
c1d92c13-42e9-4fc4-bdd0-9440dbdcfae4,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04974,multi-bole tree,43.5,155,20.6
aa4a1683-8938-4b41-9100-ca614f07f4b0,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04557,multi-bole tree,22.2,130,13.7
f3919a27-bac3-4956-aec4-42f655503b46,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03110,single bole tree,23.9,130,16.3
c6e95461-6ea8-44cf-b90f-74932fdd447c,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04989,single bole tree,15.4,130,16.0
c4ac164f-850d-4b62-b3a3-863d07e030b1,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03232,single bole tree,36.5,130,22.9
8cd6b8c5-32f8-432b-a240-9cb504ba2928,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04562,single bole tree,23.2,130,17.0
286c9ca9-3152-45f3-a490-265bab9271b9,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03287,NA,NA,NA,NA
f63747c7-da03-4cfb-9c8a-8c6a993646a7,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.04494,single bole tree,11.5,130,5.5
bddaf319-c92e-4973-a166-1ad97bb19b80,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03233,single bole tree,26.7,130,20.5
c3ee69d5-2dc2-42e3-9e77-186d20433aac,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03234,single bole tree,20.7,130,18.7
f1a08580-8096-43e1-9d49-4153eb9772e6,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03225,single bole tree,11.6,130,14.5
4bdf392e-fc1f-4399-9f06-e047f3e537f1,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04965,single bole tree,18.9,130,7.5
2daa9b88-6b4a-4c89-b245-e5492d980809,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04552,single bole tree,29.9,130,17.5
331a6567-6351-43f7-9df5-c0b970564b1d,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03156,single bole tree,16.0,130,9.7
e16df1c4-c239-4a21-85f7-207b2dd4f093,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04976,single bole tree,43.8,130,20.5
97ce1d20-7704-46c7-bb99-3e025244e368,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04545,single bole tree,17.9,130,15.9
2be601f5-858c-4c9e-9757-41bf7a7291fe,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04549,single bole tree,30.8,130,11.4
aa068f5c-83e6-4aba-973b-083bd762e1cb,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03109,single bole tree,16.4,130,14.8
4381f880-1c14-4578-b810-c57ac935a9f2,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.04001,single bole tree,52.0,130,19.8
9addfbde-9e68-438d-9b92-33e2f971cf81,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04993,single bole tree,14.3,130,13.7
21149b98-a238-43da-80b1-71c503ee1834,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04971,single bole tree,11.2,130,12.8
12d570ed-d71c-4d88-8730-97218eb2c8a1,BART_075.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_075,NEON.PLA.D01.BART.03158,single bole tree,17.8,130,9.9
8f68ee84-b4d5-49e9-b353-493b06633987,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04981,single bole tree,11.3,130,18.1
b053932b-57d9-4c9e-b5dd-2c0bd52cd414,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04534,single bole tree,31.9,130,14.2
1b51a5fa-477d-4989-bcbe-5cea23b51e6b,BART_036.basePlot.vst,2018-09-12,vst_BART_2018,D01,BART,BART_036,NEON.PLA.D01.BART.04999,single bole tree,16.0,130,9.3
